,company,location,title,city,state,level
117.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1170.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1171.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1172.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1173.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1174.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1175.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1176.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1177.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1178.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1179.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
118.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1180.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1181.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1182.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1183.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1184.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1185.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1186.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
119.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
12.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
120.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
121.0,National Security Agency,"Fort George G Meade, MD",Data Scientist,Fort George G Meade,MD,midlevel
122.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
123.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
124.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
125.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
126.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
127.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
128.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
129.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
